north,east,south,west,sn,hn,dn,cn,pn,ln,ctn,ss,hs,ds,cs,ps,ls,cts,tcn,tdn,thn,tsn,tnn,tce,tde,the,tse,tne,tcs,tds,ths,tss,tns,tcw,tdw,thw,tsw,tnw,parNS,parEW
 n AJ9863..AJ83.KQJ ,e T4.K8763.KQ952.5 ,s 72.AT4.T.AT87643 ,w KQ5.QJ952.764.92 ,6,0,4,3,16,500,5,2,3,1,7,8,700,4,12,6,6,11,10,1,7,7,1,1,12,6,6,11,10,1,7,7,2,1,920,-920
 n AJT63.K6.A9.J954 ,e Q9754.T2.T6532.3 ,s 2.QJ974.KQ87.762 ,w K8.A853.J4.AKQT8 ,5,2,2,4,13,650,5,1,5,4,3,8,700,1,7,6,8,6,8,5,6,5,7,5,7,6,8,6,8,5,6,5,7,5,120,-120
 n AKT84.AQ42.92.T9 ,e J95.KJT53.QJT.62 ,s Q6.8.A8765.QJ743 ,w 732.976.K43.AK85 ,5,4,2,2,13,600,5,2,1,5,5,9,700,2,9,8,5,8,7,4,5,7,5,6,9,8,5,8,7,4,5,7,5,6,110,-110
 n AKJT5.AQ4.T7.AQ7 ,e Q843.T652.6.JT63 ,s 2.KJ987.J8542.K5 ,w 976.3.AKQ93.9842 ,5,3,2,3,20,450,7,1,5,5,2,8,700,2,7,8,11,9,10,5,5,1,4,3,7,8,11,9,10,5,5,1,4,3,450,-450
 n A9543.8.A65.AQJ2 ,e K8.KQ75432.T9.95 ,s JT.J96.KJ4.K8764 ,w Q762.AT.Q8732.T3 ,5,1,3,4,15,550,6,2,3,3,5,9,900,2,11,8,5,9,6,2,5,8,3,5,11,8,5,9,6,2,5,8,3,5,400,-400
 n AT863.AKJ6.AJ5.Q ,e 9742.T84.9.AT954 ,s .973.KQT8764.KJ8 ,w KQJ5.Q52.32.7632 ,5,4,3,1,19,550,7,0,3,7,3,9,600,2,8,12,12,8,12,5,0,0,5,1,8,12,12,8,12,5,0,0,5,1,990,-990
 n A97543.Q984.Q.A7 ,e Q2.7.AKT865.QT62 ,s J.AKJT5.J73.9853 ,w KT86.632.942.KJ4 ,6,4,1,2,12,650,4,1,5,3,4,10,750,3,6,4,11,8,7,6,8,2,5,6,6,4,11,8,7,6,8,2,5,6,450,-450
 n AJ642.J7.AK.AJ76 ,e Q8.QT852.JT82.K3 ,s .A964.Q65.QT9542 ,w KT9753.K3.9743.8 ,5,2,2,4,18,600,7,0,4,3,6,8,700,2,12,7,8,7,10,1,6,5,5,3,12,7,8,7,10,1,6,5,5,3,920,-920
 n AQ972.J9.AQ82.76 ,e T84.AK53.76.KJ94 ,s J5.8742.KJ95.AQ3 ,w K63.QT6.T43.T852 ,5,2,4,2,13,600,4,2,4,4,3,11,800,3,7,11,8,10,9,6,2,5,3,4,7,11,8,10,9,6,2,5,3,4,420,-420
 n KQ9765.975.A7.AK ,e J43.AJ8.J3.QJT82 ,s A2.KQ6432.2.9754 ,w T8.T.KQT98654.63 ,6,3,2,2,16,500,6,2,6,1,4,9,600,3,8,5,12,11,11,4,8,1,1,1,8,5,12,11,11,4,8,1,1,1,980,-980
 n K9542.T7.AQ63.QJ ,e 83.4.KJT98.K8764 ,s J.AKQJ8652.54.T5 ,w AQT76.93.72.A932 ,5,2,4,2,12,700,3,1,8,2,2,11,500,3,3,4,9,5,7,10,8,3,8,4,3,4,9,4,7,10,8,3,8,4,-100,100
 n AKQJT.86.KJ.9842 ,e 954.A3.AQ986.KJ6 ,s 86.KQJT75.T3.AT5 ,w 732.942.7542.Q73 ,5,2,2,4,14,600,4,2,6,2,3,10,700,3,8,5,9,8,6,5,7,2,2,2,7,5,9,8,6,5,7,2,2,2,140,-140
 n AKQ63.4.QJ854.J6 ,e T74.KJT8.K.QT854 ,s 82.A932.AT976.73 ,w J95.Q765.32.AK92 ,5,1,5,2,13,500,3,2,4,5,2,8,800,4,5,11,6,11,8,6,0,7,2,2,5,11,6,11,8,6,0,7,2,2,450,-450
 n KJ8732.T.AQ87.A5 ,e A.9874.652.KQJ83 ,s Q5.AQ65.K943.972 ,w T964.KJ32.JT.T64 ,6,1,4,2,14,500,5,2,4,4,3,11,800,3,5,11,5,11,8,7,1,7,2,2,5,11,5,11,8,7,1,7,2,2,450,-450
 n AK984.AK.JT2.Q98 ,e JT6.QT932.Q943.T ,s Q2.876.K87.A7642 ,w 753.J54.A65.KJ53 ,5,2,3,3,17,650,6,2,3,3,5,9,900,3,10,9,8,10,9,2,4,5,3,3,10,9,8,10,9,3,4,5,3,3,420,-420
 n QJT862.K4.K2.K62 ,e AK95.QJ76.AQ7.J4 ,s 7.AT82.985.AT987 ,w 43.953.JT643.Q53 ,6,2,2,3,12,600,3,1,4,3,5,8,800,4,9,6,7,9,7,4,7,6,5,6,8,5,7,8,5,4,7,6,5,6,140,-140
 n AQ986.864.A8.K87 ,e K543.K.K97.QT963 ,s 2.AJT32.JT532.A4 ,w JT7.Q975.Q64.J52 ,5,3,2,3,13,700,5,1,5,5,2,10,650,4,7,9,10,8,7,6,4,3,4,6,7,9,10,8,7,6,4,3,4,6,420,-420
 n AKJ42.83.K4.AJT4 ,e T.J76.QJ98765.97 ,s Q7.AKQT2.T32.652 ,w 98653.954.A.KQ83 ,5,2,2,4,16,500,6,2,5,3,3,11,800,3,11,6,12,10,11,2,6,1,3,1,11,6,12,10,11,2,6,1,3,1,980,-980
 n AKT73.A73.AQ5.93 ,e Q4.KT9.J93.AT642 ,s 62.QJ8.T764.KQJ5 ,w J985.6542.K82.87 ,5,3,3,2,17,600,7,2,3,4,4,9,800,1,9,10,9,9,9,4,3,4,4,4,9,9,8,9,9,4,3,3,4,4,400,-400
 n AKT65.A74.Q932.Q ,e Q43.JT82.8765.54 ,s J8.653.AJT.AT732 ,w 972.KQ9.K4.KJ986 ,5,3,4,1,15,650,5,2,3,3,5,10,850,4,7,9,7,9,7,6,3,5,4,5,7,9,7,9,7,6,3,5,4,5,140,-140
 n KQT72..QJ62.KQT6 ,e J865.AQ95.K.9874 ,s A4.T87642.T875.A ,w 93.KJ3.A943.J532 ,5,0,4,4,13,400,2,2,6,4,1,8,700,4,6,10,7,9,7,6,3,6,4,6,6,10,7,9,7,6,3,6,4,6,140,-140
 n KQJ842.AJ7.J.K62 ,e 5.KQ86432.9753.J ,s T.95.AKQT64.9754 ,w A9763.T.82.AQT83 ,6,3,1,3,15,600,4,1,2,6,4,9,600,3,8,8,5,8,9,5,2,7,4,2,8,8,5,8,9,5,2,7,4,2,400,-400
 n KJ8652.K7.A4.QJ2 ,e 7.8643.KJ9.KT763 ,s 3.AJ2.QT8652.A95 ,w AQT94.QT95.73.84 ,6,2,2,3,14,600,4,1,3,6,3,11,750,4,8,10,6,9,9,5,3,6,4,3,8,10,6,9,10,5,3,7,4,3,430,-430
 n KQJ732.AK.987.Q6 ,e AT9.T9843.AQ4.J2 ,s 6.J652.K653.AT87 ,w 854.Q7.JT2.K9543 ,6,2,3,2,15,600,4,1,4,4,4,8,800,3,8,8,8,9,9,5,4,5,3,3,8,8,8,9,9,5,4,5,3,3,400,-400
 n QT753.AKJ762..A6 ,e J86.QT4.986.KT82 ,s AK.53.T7542.J953 ,w 942.98.AKQJ3.Q74 ,5,6,0,2,14,400,5,2,2,5,4,8,800,3,8,6,11,11,8,5,6,2,2,5,8,6,11,11,8,5,6,2,2,5,450,-450
 n AQJT92.3.T2.AK96 ,e 8764.94.9864.T52 ,s K3.QJT872.Q7.Q83 ,w 5.AK65.AKJ53.J74 ,6,1,2,4,14,450,5,2,6,2,3,10,750,1,10,4,9,10,6,3,9,4,3,3,10,4,9,10,6,3,9,4,3,3,300,-300
 n AKQJ82.KJ.J.JT52 ,e 753.AT653.965.A3 ,s T9.9874.AKQ83.98 ,w 64.Q2.T742.KQ764 ,6,2,1,4,16,500,4,2,4,5,2,9,700,3,8,9,7,10,9,5,1,5,3,2,8,9,7,10,9,5,1,5,3,2,420,-420
 n KJT97.J.AK876.T2 ,e Q8653.A4.QT4.K43 ,s 4.Q962.J932.AQ75 ,w A2.KT8753.5.J986 ,5,1,5,2,12,550,4,1,4,4,4,9,750,2,6,10,5,7,6,6,3,8,6,6,6,10,5,7,6,6,3,8,6,6,130,-130
 n AKJT52.K87.K5.97 ,e 963.5.QT62.AKT63 ,s 87.QJT32.AJ7.Q82 ,w Q4.A964.9843.J54 ,6,3,2,2,14,550,5,2,5,3,3,10,850,2,6,6,10,9,10,7,6,3,2,3,6,6,10,9,10,6,6,3,2,3,430,-430
 n KQJ843..J4.AQJT2 ,e 75.A87654.9872.6 ,s T.QJ9.AKT53.9753 ,w A962.KT32.Q6.K84 ,6,0,2,5,14,350,3,1,3,5,4,10,700,3,12,10,5,11,9,1,2,8,1,3,12,11,5,11,9,1,2,8,1,3,800,-800
 n QT953.Q6.KJ974.A ,e A864.K32.Q63.983 ,s 7.AT9874.AT2.765 ,w KJ2.J5.85.KQJT42 ,5,2,5,1,12,650,3,1,6,3,3,8,800,4,5,11,11,8,7,7,2,2,4,3,5,11,11,8,7,6,2,2,4,3,450,-450
 n AKJT9.A843.76.J8 ,e 543.T5.J983.AQ74 ,s 6.QJ972.KT42.KT6 ,w Q872.K6.AQ5.9532 ,5,4,2,2,13,650,5,1,5,4,3,9,700,2,7,7,10,9,9,6,5,2,4,3,7,8,10,9,9,6,5,3,4,4,420,-420
 n AK732.T.AT4.AQJ9 ,e J9854.Q7.K76532. ,s Q.96432.QJ.KT652 ,w T6.AKJ85.98.8743 ,5,1,3,4,18,450,7,1,5,2,5,8,800,1,11,6,8,9,8,2,7,5,4,4,11,5,7,8,8,2,7,5,4,4,400,-400
 n KQJ42.K4.Q65.AJ6 ,e T85.AQ72.K972.K9 ,s A3.J9653.AT8.854 ,w 976.T8.J43.QT732 ,5,2,3,3,16,650,4,2,5,3,3,9,900,4,8,8,9,9,9,5,5,4,4,4,8,8,9,9,9,5,5,4,4,3,400,-400
 n AKJT5.AJ.KJT2.73 ,e Q6.KQT8.Q98.Q986 ,s 98.654.A643.KJT5 ,w 7432.9732.75.A42 ,5,2,4,2,17,500,6,2,3,4,4,8,850,3,9,12,7,11,10,3,1,5,1,1,9,12,7,11,10,3,1,5,1,1,920,-920
 n A9843.J6.AT.KQ92 ,e KQJT75.95.83.J86 ,s 6.743.KQJ9765.A5 ,w 2.AKQT82.42.T743 ,5,2,2,4,14,600,5,1,3,7,2,10,600,3,7,11,6,6,7,6,1,7,6,1,7,11,6,6,7,6,1,7,6,1,400,-400
 n AKJ52.K86.42.A65 ,e 7.43.KJT9763.K98 ,s 96.AQT9752.Q5.T3 ,w QT843.J.A8.QJ742 ,5,3,2,3,15,650,6,2,7,2,2,8,700,2,3,4,11,8,6,9,9,2,5,2,3,4,11,8,6,9,9,2,5,2,450,-450
 n KT973.A4.JT8.AQ8 ,e QJ6.952.643.6532 ,s 85.KJ63.952.KJT7 ,w A42.QT87.AKQ7.94 ,5,2,3,3,14,700,5,2,4,3,4,8,850,2,8,7,7,7,7,4,6,6,6,6,8,7,7,7,7,4,6,6,6,6,90,-90
 n AKT93.KJ8.KQ84.5 ,e Q65.654.A53.KT86 ,s 72.AT.J92.QJ7432 ,w J84.Q9732.T76.A9 ,5,3,4,1,16,500,5,2,2,3,6,8,800,2,9,10,8,10,9,4,2,5,3,4,9,10,8,10,9,4,2,5,3,4,420,-420
 n KJT75.Q43.2.KQJ5 ,e .KT82.JT987.9762 ,s A2.J95.KQ6543.T4 ,w Q98643.A76.A.A83 ,5,3,1,4,12,600,2,2,3,6,2,10,700,3,6,7,6,7,8,7,6,7,5,5,6,7,6,7,8,7,6,7,5,5,120,-120
 n AK943.A654.96.AJ ,e J872.8.AQ7.T6542 ,s Q.QT2.JT5432.K83 ,w T65.KJ973.K8.Q97 ,5,4,2,2,16,600,7,1,3,6,3,8,850,1,7,10,8,8,8,5,3,5,5,5,7,10,8,8,8,5,3,5,5,5,130,-130
 n AK874.J743.964.A ,e QJ63.T5.K8.JT964 ,s 2.K986.QJ52.K853 ,w T95.AQ2.AT73.Q72 ,5,4,3,1,12,700,5,1,4,4,4,9,700,2,5,7,8,5,6,8,6,5,6,7,5,7,8,5,6,8,6,5,6,7,100,-100
 n A9874.A6.K975.K3 ,e KQJ6.J7542.8.876 ,s T5.KQ98.QJT43.QJ ,w 32.T3.A62.AT9542 ,5,2,4,2,14,600,6,2,4,5,2,11,700,1,4,10,7,8,7,8,3,6,5,4,4,10,6,8,7,8,3,6,5,4,130,-130
 n AJ8432.QT3.Q.K53 ,e KQ96.A.K7654.864 ,s T5.KJ82.AT83.JT7 ,w 7.97654.J92.AQ92 ,6,3,1,3,12,750,3,2,4,4,3,9,900,3,6,4,7,7,7,7,9,5,6,6,5,4,7,7,7,7,9,5,6,6,-110,110
 n KQJT64.QT95.A.J4 ,e A2.AJ8632.JT6.T9 ,s 98..KQ875.AQ8632 ,w 753.K74.9432.K75 ,6,4,1,2,13,550,3,2,0,5,6,11,400,3,11,9,6,9,7,2,4,7,2,5,11,9,6,9,7,2,4,7,2,5,400,-400
 n AJ9432.Q3.AT9.A7 ,e QT.KJ98.K754.863 ,s .T42.QJ8632.KQJ5 ,w K8765.A765..T942 ,6,2,3,2,15,700,6,0,3,6,4,9,600,1,7,10,6,7,7,6,2,7,5,5,7,10,6,7,7,6,2,7,5,5,130,-130
 n AK865.K.Q952.AQ6 ,e J97.Q65.T763.843 ,s 3.732.A84.KJT972 ,w QT42.AJT984.KJ.5 ,5,1,4,3,18,500,6,1,3,3,6,8,750,3,11,10,4,8,7,2,3,8,4,4,11,10,4,8,7,2,3,8,4,4,400,-400
 n KJT974.AQ2.K4.T3 ,e AQ53.96.JT95.Q92 ,s 6.JT53.8762.AK64 ,w 82.K874.AQ3.J875 ,6,3,2,2,13,550,4,1,4,4,4,8,800,3,7,6,8,10,7,6,6,5,3,5,7,6,8,10,7,6,6,5,3,5,420,-420
 n AKQT84.AT6.92.Q6 ,e 96.K8.AKQT6.JT52 ,s 75.QJ72.J843.A83 ,w J32.9543.75.K974 ,6,3,2,2,15,600,5,2,4,4,3,8,900,2,5,7,8,9,8,8,6,3,3,4,5,7,8,9,8,8,6,3,3,4,140,-140
 n KQ975.A853.A863. ,e AT864.94..QJ8762 ,s 3.KQ62.T954.AT53 ,w J2.JT7.KQJ72.K94 ,5,4,4,0,13,500,5,1,4,4,4,9,700,3,5,9,9,7,7,8,4,3,6,5,4,9,8,7,8,8,4,4,6,5,140,-140
 n KJT97.63.K.AJ965 ,e AQ532.52.QJ.8742 ,s 8.KQJT98.T8742.Q ,w 64.A74.A9653.KT3 ,5,2,1,5,12,600,4,1,6,5,1,8,600,1,6,7,8,6,7,6,6,5,6,6,6,7,8,6,7,6,6,5,6,6,110,-110
 n KQ754.A832.A65.Q ,e JT96.765.KT9.KJ4 ,s 82.KQJT4.Q87.753 ,w A3.9.J432.AT9862 ,5,4,3,1,15,600,5,2,5,3,3,8,850,1,4,5,10,8,6,9,7,3,4,7,4,5,10,8,6,9,7,3,4,7,300,-300
 n KQT9764.J.A.AQ72 ,e A852.T954.T82.K8 ,s J3.A86.QJ64.J543 ,w .KQ732.K9753.T96 ,7,1,1,4,16,300,5,2,3,4,4,9,900,2,10,5,4,11,8,3,8,9,2,4,10,5,4,11,8,3,8,9,2,4,450,-450
 n AQT83.A92.QT8.T9 ,e 94.KJ6543.K.J542 ,s 65.7.AJ732.KQ876 ,w KJ72.QT8.9654.A3 ,5,3,3,2,12,750,4,2,1,5,5,10,600,3,11,12,6,10,10,1,1,7,2,1,11,12,6,10,10,1,1,7,2,1,920,-920
 n KJT7532.Q85.A2.K ,e A984.KJ.JT95.942 ,s Q6.A743.Q83.JT83 ,w .T962.K764.AQ765 ,7,3,2,1,13,550,4,2,4,3,4,9,950,2,4,4,6,9,6,9,9,7,3,5,4,4,6,9,7,9,9,7,3,5,100,-100
 n KJT98.AQ3.A876.7 ,e 62.9742.KJT54.86 ,s 73.JT85.2.AKT543 ,w AQ54.K6.Q93.QJ92 ,5,3,4,1,14,550,5,2,4,1,6,8,700,3,10,7,9,10,8,3,5,4,2,4,10,7,9,10,8,3,5,4,2,4,420,-420
 n AKT962.J86.6.KQJ ,e J.752.AK9754.854 ,s 7.KQT43.83.AT972 ,w Q8543.A9.QJT2.63 ,6,3,1,3,14,600,4,1,5,2,5,9,600,3,11,4,11,9,6,2,9,2,4,6,11,4,11,9,6,2,9,2,4,6,450,-450
 n AQT9842.A5.K3.AT ,e K53.T64.T92.J753 ,s 76.J72.A86.KQ864 ,w J.KQ983.QJ754.92 ,7,2,2,2,17,400,7,2,3,3,5,10,800,3,10,6,7,12,9,1,6,6,1,1,10,6,7,12,9,1,6,6,1,1,980,-980
 n AQ872.KQ82.Q52.9 ,e 9653.43.9743.873 ,s T.A965.J86.KQT54 ,w KJ4.JT7.AKT.AJ62 ,5,4,3,1,13,550,3,1,4,3,5,10,700,3,8,7,10,8,8,4,5,3,5,4,8,7,10,8,8,5,5,3,5,4,420,-420
 n Q7653.A2.862.AK6 ,e J984.J4.A.QJ8743 ,s A.T876.KQJT74.52 ,w KT2.KQ953.953.T9 ,5,2,3,3,13,750,5,1,4,6,2,10,600,3,5,11,7,6,9,7,2,5,6,4,5,11,7,6,9,7,2,5,6,4,400,-400
 n AKQ752..AKQ2.864 ,e JT963.QT874.7.AJ ,s 4.AJ9.98543.K975 ,w 8.K6532.JT6.QT32 ,6,0,4,3,18,300,6,1,3,5,4,8,800,3,10,11,5,10,10,3,2,8,3,3,10,11,5,10,10,3,2,8,3,3,430,-430
 n AJT543.AT6.T8.AT ,e 982.982.KQJ9732. ,s K6.Q75.54.KQ7632 ,w Q7.KJ43.A6.J9854 ,6,3,2,2,13,650,6,2,3,2,6,10,650,2,9,4,7,10,6,2,8,5,2,2,9,4,7,9,6,3,8,5,2,3,420,-420
 n KQJ83..AQ63.AK87 ,e 9652.JT983.T7.94 ,s 74.A764.J954.QJ5 ,w AT.KQ52.K82.T632 ,5,0,4,4,19,300,6,2,4,4,3,8,900,2,11,12,7,12,9,1,1,6,1,1,11,12,7,12,9,1,1,6,1,1,980,-980
 n AQ8543.T3.KQJ.95 ,e 9762.AK642.8.KQ3 ,s T.985.A7654.AT86 ,w KJ.QJ7.T932.J742 ,6,2,3,2,12,600,3,1,3,5,4,8,800,4,6,8,5,8,6,6,4,8,5,5,6,8,5,8,6,6,5,8,5,5,100,-100
 n AKJ754.KT54.AK.8 ,e Q.QJ3.T982.AQ752 ,s 2.A86.Q7643.KJ64 ,w T9863.972.J5.T93 ,6,4,2,1,18,350,7,1,3,5,4,10,750,3,8,11,11,10,10,5,2,2,3,3,8,11,11,10,10,4,2,2,3,3,450,-450
 n AQJ98.A84.AQ73.6 ,e T76.K7.9852.K974 ,s 42.J6.JT6.AQJT53 ,w K53.QT9532.K4.82 ,5,3,4,1,17,450,6,2,2,3,6,9,750,2,12,11,8,10,10,1,1,5,2,2,12,11,8,10,10,1,2,5,2,2,920,-920
 n KT864.AQT4.A8.95 ,e J753.K62.962.QJ6 ,s Q.975.K75.KT7432 ,w A92.J83.QJT43.A8 ,5,4,2,2,13,600,5,1,3,3,6,8,800,2,9,6,8,7,6,4,7,4,5,6,9,6,9,7,6,4,7,4,5,6,140,-140
 n Q98732.AQ.Q.Q632 ,e JT6.973.T94.T984 ,s 4.KJ85.K8753.A75 ,w AK5.T642.AJ62.KJ ,6,2,1,4,12,650,2,1,4,5,3,11,700,4,8,8,7,8,7,4,5,5,4,6,8,8,7,8,7,4,5,5,4,6,110,-110
 n AQ952.K75.K.JT96 ,e JT7.T932.96.AKQ7 ,s K3.AJ864.QT2.842 ,w 864.Q.AJ87543.53 ,5,3,1,4,13,650,4,2,5,3,3,10,850,3,8,4,8,8,9,4,8,3,4,3,8,4,8,8,9,4,8,3,4,3,300,-300
 n AK9765.AT83.A6.5 ,e Q4.K42.KQ53.AJ83 ,s J.QJ95.T97.KQ742 ,w T832.76.J842.T96 ,6,4,2,1,15,500,7,1,4,3,5,9,700,1,8,6,10,8,7,5,6,2,5,6,8,6,10,8,7,5,6,2,5,6,420,-420
 n AK862.Q954..AK85 ,e 3.KT76.K2.QJT932 ,s JT.AJ832.AT983.4 ,w Q9754..QJ7654.76 ,5,4,0,4,16,450,6,2,5,5,1,10,700,4,8,8,12,10,10,4,5,1,3,3,9,8,12,10,10,4,5,1,3,3,980,-980
 n QJT74.Q82.Q3.AQJ ,e A953.AT6.KT.8742 ,s 62.KJ753.A42.KT5 ,w K8.94.J98765.963 ,5,3,2,3,14,700,2,2,5,3,3,11,800,4,8,5,9,8,9,5,8,4,4,4,7,5,8,8,8,5,8,4,4,4,300,-300
 n KQJT6.KJT98.K.K8 ,e 97.5.9765.QJ9653 ,s A2.A764.QJT842.4 ,w 8543.Q32.A3.AT72 ,5,5,1,2,16,400,4,2,4,6,1,11,600,4,5,10,11,11,11,8,2,1,2,2,5,10,11,11,11,8,2,1,2,2,460,-460
 n AK732.2.AT962.K5 ,e QJT8.KQJT9.Q.AJ3 ,s 64.A764.KJ73.T76 ,w 95.853.854.Q9842 ,5,1,5,2,14,500,6,2,4,4,3,8,900,3,6,11,5,9,9,7,2,8,4,4,5,11,4,9,8,7,2,8,4,4,400,-400
 n QJT7432.A7.Q8.K5 ,e AK95.Q3.KT4.J987 ,s 6.K95.J753.AQT64 ,w 8.JT8642.A962.32 ,7,2,2,2,12,600,3,1,3,4,5,10,700,3,8,7,5,8,7,5,6,8,4,5,8,7,5,8,7,5,6,8,4,5,100,-100
 n AQJ982.A3..AJ985 ,e T763.T864.87.764 ,s 4.QJ97.K65432.QT ,w K5.K52.AQJT9.K32 ,6,2,0,5,16,350,6,1,4,6,2,8,700,1,12,9,9,11,9,1,4,3,1,3,12,9,9,11,9,1,4,4,2,3,920,-920
 n AT854.AK97.K5.A8 ,e Q93.QJ52.T94.972 ,s K7.T84.AJ63.QJ65 ,w J62.63.Q872.KT43 ,5,4,2,2,18,500,8,2,3,4,4,11,800,3,10,10,11,11,10,3,2,2,2,2,10,10,11,11,10,3,3,2,2,2,450,-450
 n AJ965.AQ43.KJ4.7 ,e KT8.KJ8.5.QT9652 ,s 4.T965.AQ76.KJ43 ,w Q732.72.T9832.A8 ,5,4,3,1,15,600,5,1,4,4,4,10,700,3,6,8,10,8,8,6,4,3,5,5,6,8,10,7,8,6,4,3,5,5,420,-420
 n AJ6542.A8.T3.A64 ,e Q98.J762.QJ6.985 ,s K.T954.AK542.732 ,w T73.KQ3.987.KQJT ,6,2,2,3,13,700,6,1,4,5,3,10,750,4,8,9,9,9,8,4,2,4,4,4,8,9,9,9,8,4,2,4,4,4,140,-140
 n AKQ75.K76.J5432. ,e J932.J5.Q76.J543 ,s 64.QT8.K8.AQ9872 ,w T8.A9432.AT9.KT6 ,5,3,5,0,13,500,4,2,3,2,6,11,650,3,8,8,7,8,7,5,5,6,5,5,8,8,7,8,7,5,5,6,5,5,110,-110
 n AJ9652.KJ43..AT7 ,e K87.A872.AK75.42 ,s 3.QT5.JT8642.KQJ ,w QT4.96.Q93.98653 ,6,4,0,3,13,600,5,1,3,6,3,9,750,1,7,7,8,10,7,6,5,3,3,6,7,7,8,10,7,6,5,3,3,6,420,-420
 n AQ632.J8.AQ.KJ52 ,e KT8754.KT2.T2.83 ,s .AQ3.K86543.QT64 ,w J9.97654.J97.A97 ,5,2,2,4,17,550,5,0,3,6,4,11,550,3,12,12,8,8,12,1,1,5,5,1,12,12,8,8,11,1,1,5,5,1,990,-990
 n AKJT9632.4.AQ.43 ,e 5.A952.K972.AQ62 ,s 84.KQ6.643.KJ875 ,w Q7.JT873.JT85.T9 ,8,1,2,2,14,400,5,2,3,3,5,9,800,2,9,6,5,11,11,4,7,8,2,2,8,5,5,10,9,4,7,8,2,2,460,-460
 n KQ874.A6.AT7.983 ,e T63.Q543.K5.QJ75 ,s 92.J2.Q964.AKT64 ,w AJ5.KT987.J832.2 ,5,2,3,3,13,700,5,2,2,4,5,10,750,3,10,9,5,9,8,2,4,8,3,2,10,9,5,9,8,2,4,8,4,2,140,-140
 n AQT763.Q.AJ7.QT4 ,e K842.J763.Q964.2 ,s J9.KT42.T832.AK9 ,w 5.A985.K5.J87653 ,6,1,3,3,15,650,4,2,4,4,3,11,800,4,7,9,6,9,10,6,3,6,3,3,7,8,6,9,10,6,4,6,3,3,430,-430
 n AJ952.AQJ2.2.JT9 ,e K86.KT3.QJ53.A53 ,s 7.964.AKT64.K762 ,w QT43.875.987.Q84 ,5,4,1,3,13,650,4,1,3,5,4,10,700,4,9,9,10,8,8,4,4,3,5,5,9,9,9,8,8,4,4,3,5,5,420,-420
 n AKJ976.K974.7.QT ,e Q842.AQ862.QT.J3 ,s .T.K9532.AK96542 ,w T53.J53.AJ864.87 ,6,4,1,2,13,550,4,0,1,5,7,10,400,4,11,7,6,8,8,2,6,7,5,4,10,7,6,7,7,1,6,6,4,4,400,-400
 n JT9863.QJ6.AK.Q4 ,e A542.T872.J64.52 ,s Q.A943.952.A9873 ,w K7.K5.QT873.KJT6 ,6,3,2,2,13,700,3,1,4,3,5,10,800,4,8,6,9,9,7,5,7,4,4,5,8,6,9,9,7,5,7,4,4,5,140,-140
 n KQT984.2.KT85.A5 ,e AJ75.K87.32.KQ86 ,s 6.AQJ9653.Q64.T2 ,w 32.T4.AJ97.J9743 ,6,1,4,2,12,500,4,1,7,3,2,9,600,2,5,8,9,9,6,8,4,3,4,7,5,8,9,9,6,8,4,3,4,7,140,-140
 n AQ652.AT4.Q98.J5 ,e T43.K65.732.AQT3 ,s J9.QJ973.KJ6.974 ,w K87.82.AT54.K862 ,5,3,3,2,13,750,4,2,5,3,3,8,900,1,5,6,9,8,7,7,6,4,5,6,5,6,9,8,7,8,7,4,5,6,140,-140
 n AQJT92.52.AJ96.4 ,e K76.Q94.Q5432.Q3 ,s 43.T8.T7.AKJ9876 ,w 85.AKJ763.K8.T52 ,6,2,4,1,12,550,4,2,2,2,7,8,650,3,10,7,4,9,7,3,6,9,3,4,10,7,4,9,7,3,6,9,3,4,100,-100
 n AKQ83.8.A63.AT32 ,e J964.93.Q84.QJ74 ,s 72.AQT42.JT52.K9 ,w T5.KJ765.K97.865 ,5,1,3,4,17,500,7,2,5,4,2,10,700,3,10,10,8,10,9,3,3,4,3,4,10,10,9,10,9,3,3,4,3,4,420,-420
 n A87543..AT98.A65 ,e KJ9.AK85.K43.J32 ,s QT.QJ762.J52.QT9 ,w 62.T943.Q76.K874 ,6,0,4,3,12,600,6,2,5,3,3,8,950,0,7,9,7,10,8,6,4,6,3,5,7,9,6,10,8,6,4,7,3,5,420,-420
 n AKQ93.QT8.Q853.K ,e T852.AJ3.T742.64 ,s J7.K962.A9.T9753 ,w 64.754.KJ6.AQJ82 ,5,3,4,1,16,550,4,2,4,2,5,8,800,3,7,8,9,9,8,6,5,4,4,4,7,8,9,9,9,6,5,4,4,4,400,-400
 n QJT42.A84.T2.AJT ,e K.KJ976.7.KQ6542 ,s 97.QT2.AKQ98643. ,w A8653.53.J5.9873 ,5,3,2,3,12,750,4,2,3,8,0,11,450,3,4,11,7,9,11,9,2,6,4,2,3,10,5,8,10,9,2,6,4,2,460,-460
 n AK532.A65.T2.K62 ,e QT984.T84.AK3.83 ,s J.K73.Q95.AJT754 ,w 76.QJ92.J8764.Q9 ,5,3,2,3,14,700,6,1,3,3,6,11,700,3,11,7,7,8,10,2,5,6,5,2,11,7,7,8,10,2,5,6,5,2,430,-430
 n KQJT5.J7.K.Q9742 ,e A43.AT.AJ962.T85 ,s 92.K9432.QT4.AJ3 ,w 876.Q865.8753.K6 ,5,2,1,5,12,600,2,2,5,3,3,10,850,3,9,5,7,8,7,4,8,6,4,4,9,5,7,8,7,4,8,6,4,4,100,-100
